run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,53,110,26,26,188,494,0.380567
1,0,43,51,102,27,23,179,460,0.38913
2,0,44,51,96,26,24,174,436,0.399083
3,0,45,49,101,26,22,172,454,0.378855
4,0,46,51,107,24,26,184,480,0.383333
5,0,47,52,106,24,27,182,477,0.381551
6,0,48,52,109,25,26,183,489,0.374233
7,0,49,51,105,28,22,184,472,0.38983
8,0,50,51,106,25,25,179,476,0.37605
9,0,51,53,112,25,27,201,502,0.400398
