run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,53,110,27,25,195,494,0.394737
1,0,43,51,102,27,23,177,460,0.384783
2,0,44,51,96,27,23,177,436,0.405963
3,0,45,49,101,26,22,174,454,0.38326
4,0,46,51,107,25,25,189,480,0.39375
5,0,47,52,106,29,22,187,477,0.392034
6,0,48,52,109,28,23,186,489,0.380368
7,0,49,51,105,29,21,183,472,0.387712
8,0,50,51,106,27,23,181,476,0.380252
9,0,51,53,112,28,24,202,502,0.40239
