run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,53,110,29,23,191,494,0.38664
1,0,43,51,102,27,23,181,460,0.393478
2,0,44,51,96,26,24,174,436,0.399083
3,0,45,49,101,26,22,176,454,0.387665
4,0,46,51,107,26,24,190,480,0.395833
5,0,47,52,106,27,24,187,477,0.392034
6,0,48,52,109,27,24,189,489,0.386503
7,0,49,51,105,27,23,179,472,0.379237
8,0,50,51,106,27,23,183,476,0.384454
9,0,51,53,112,27,25,199,502,0.396414
