run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,49,97,28,20,170,438,0.388128
1,0,43,50,98,25,24,177,443,0.399549
2,0,44,48,95,26,21,168,429,0.391608
3,0,45,47,94,23,23,171,424,0.403302
4,0,46,49,105,26,22,186,470,0.395745
5,0,47,51,106,27,23,181,476,0.380252
6,0,48,50,103,25,24,177,463,0.382289
7,0,49,50,104,28,21,184,467,0.394004
8,0,50,48,88,24,23,164,401,0.408978
9,0,51,50,104,25,24,181,467,0.38758
