run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,53,110,4,1,10,494,0.0202429
1,0,43,51,102,4,1,10,460,0.0217391
2,0,44,51,96,4,1,10,436,0.0229358
3,0,45,49,101,4,1,10,454,0.0220264
4,0,46,51,107,4,1,12,480,0.025
5,0,47,52,106,4,1,12,477,0.0251572
6,0,48,52,109,4,1,12,489,0.0245399
7,0,49,51,105,4,1,10,472,0.0211864
8,0,50,51,106,4,1,12,476,0.0252101
9,0,51,53,112,4,1,8,502,0.0159363
