run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,49,97,25,23,167,438,0.381279
1,0,43,50,98,25,24,175,443,0.395034
2,0,44,48,95,22,25,166,429,0.386946
3,0,45,47,94,22,24,168,424,0.396226
4,0,46,49,105,24,24,182,470,0.387234
5,0,47,51,106,24,26,178,476,0.37395
6,0,48,50,103,25,24,175,463,0.37797
7,0,49,50,104,25,24,179,467,0.383298
8,0,50,48,88,24,23,160,401,0.399002
9,0,51,50,104,24,25,178,467,0.381156
