run_id,solver,graph_seed,n_nodes,n_edges,n_factories,n_powerplants,production_rate,theoretical_max,efficiency
0,0,42,53,110,30,22,190,494,0.384615
1,0,43,51,102,25,25,179,460,0.38913
2,0,44,51,96,26,24,174,436,0.399083
3,0,45,49,101,25,23,175,454,0.385463
4,0,46,51,107,26,24,184,480,0.383333
5,0,47,52,106,26,25,178,477,0.373166
6,0,48,52,109,29,22,183,489,0.374233
7,0,49,51,105,26,24,174,472,0.368644
8,0,50,51,106,27,23,177,476,0.371849
9,0,51,53,112,29,23,207,502,0.412351
