tick,loss,loss_delta,in_transit
308,83646,0,41823
309,82938,-708,40416
310,82938,0,40267
311,82938,0,40660
312,82698,-240,40196
313,82310,-388,40843
314,82160,-150,41080
315,82160,0,40272
316,82160,0,39487
317,82160,0,41080
318,82160,0,38885
319,82058,-102,40573
320,82058,0,40721
321,82058,0,40835
322,81724,-334,40674
323,81724,0,39672
324,81632,-92,39802
325,81434,-198,40092
326,81380,-54,39735
327,81380,0,39914
328,81380,0,40521
329,81380,0,40565
330,81380,0,39161
331,81380,0,40690
332,81380,0,40420
333,81200,-180,40600
334,81200,0,39598
335,81110,-90,39218
336,80922,-188,38771
337,80806,-116,40312
338,80586,-220,39841
339,80586,0,40293
340,80586,0,38688
341,80052,-534,40005
342,79962,-90,39177
343,79466,-496,38524
344,79466,0,39366
345,79466,0,39733
346,79108,-358,39465
347,79108,0,39554
348,78582,-526,39291
349,78582,0,39291
350,78582,0,39291
351,78582,0,39291
352,78582,0,38923
353,78320,-262,37386
354,78320,0,38780
355,78062,-258,39031
356,78062,0,38595
357,78062,0,37745
358,77648,-414,38651
359,77648,0,36671
360,77648,0,38238
361,77648,0,37606
362,77614,-34,38693
363,77614,0,38584
364,77614,0,38807
365,77614,0,38396
366,77614,0,38807
367,77614,0,38807
368,77614,0,38807
369,77502,-112,38751
370,77502,0,38751
371,77502,0,38420
372,77502,0,37671
373,77502,0,38051
374,77364,-138,38439
375,77364,0,37600
376,77364,0,37926
377,77364,0,38028
378,76870,-494,38435
379,76870,0,38358
380,76870,0,38435
381,76870,0,38435
382,76870,0,38020
383,76812,-58,38406
384,76812,0,38167
385,76706,-106,38239
386,76706,0,38353
387,76706,0,38353
388,76706,0,38353
389,76706,0,38353
390,76652,-54,38178
391,76532,-120,38204
392,76296,-236,37029
393,75826,-470,37824
394,75826,0,37913
395,75826,0,37913
396,75826,0,37913
397,75118,-708,37559
398,75118,0,37559
399,75118,0,37168
400,74286,-832,36736
401,74244,-42,36579
402,73218,-1026,35520
403,73218,0,36478
404,73218,0,36163
405,72686,-532,36343
406,72620,-66,34781
407,72604,-16,35740
408,72218,-386,35850
409,72218,0,35449
410,70626,-1592,35298
411,69996,-630,33375
412,69996,0,34998
413,69996,0,33536
414,69996,0,34998
415,69512,-484,33691
416,69512,0,34009
417,69512,0,34756
418,69512,0,34486
419,68972,-540,34361
420,68972,0,33891
421,68972,0,34486
422,68964,-8,32953
423,68964,0,32961
424,68964,0,34482
425,68964,0,34482
426,68964,0,34482
427,68964,0,33628
428,68964,0,34088
429,68964,0,32476
430,68964,0,33225
431,68964,0,32785
432,68964,0,34442
433,67878,-1086,33197
434,67518,-360,33421
435,67104,-414,33489
436,66546,-558,32696
437,66546,0,32726
438,66546,0,32933
439,66372,-174,32532
440,66372,0,33186
441,65860,-512,32930
442,65860,0,32358
443,65460,-400,32665
444,65460,0,32294
445,65460,0,32163
446,65460,0,32730
447,65460,0,32730
448,65132,-328,32566
449,65132,0,32106
450,64686,-446,32343
451,63962,-724,31540
452,63438,-524,31701
453,63438,0,31515
454,63438,0,31719
455,63438,0,30664
456,63344,-94,31595
457,63344,0,31341
458,63344,0,31100
459,63344,0,31672
460,63196,-148,31598
461,63196,0,30937
462,62950,-246,30930
463,62950,0,31475
464,62950,0,31077
465,62950,0,31475
466,62950,0,31475
467,62950,0,31475
468,62950,0,31117
469,62772,-178,30563
470,62772,0,30585
471,62638,-134,31081
472,62290,-348,31145
473,62290,0,31145
474,62166,-124,30591
475,62166,0,31083
476,62166,0,31083
477,61804,-362,30902
478,61240,-564,30456
479,61240,0,30472
480,60510,-730,28796
481,59918,-592,29416
482,59918,0,29959
483,59846,-72,29923
484,59846,0,29861
485,59684,-162,29339
486,59684,0,29596
487,59684,0,29842
488,59684,0,29842
489,59684,0,29842
490,59684,0,28716
491,59684,0,29733
492,59684,0,29336
493,59058,-626,29529
494,58724,-334,28594
495,58724,0,29362
496,58664,-60,28997
497,58664,0,28586
498,58664,0,28899
499,58664,0,29332
500,58664,0,29332
501,58664,0,29332
502,58584,-80,29099
503,58182,-402,28502
504,58182,0,29091
505,58182,0,28788
506,58182,0,28427
507,58182,0,27629
508,58182,0,28191
509,57916,-266,28066
510,57050,-866,28525
511,57050,0,27927
512,57050,0,27248
513,57050,0,28340
514,56326,-724,27780
515,55998,-328,27999
516,55872,-126,27428
517,55594,-278,27341
518,54824,-770,27298
519,54824,0,26805
520,53720,-1104,26722
521,53592,-128,25143
522,53592,0,26749
523,53552,-40,26220
524,53552,0,26382
525,53552,0,26190
526,53552,0,26776
527,53552,0,26232
528,53552,0,26776
529,53552,0,26776
530,53384,-168,26692
531,53326,-58,26096
