tick,loss,loss_delta,in_transit
274,635154,0,301276
275,635154,0,301299
276,635154,0,302200
277,635154,0,300644
278,635154,0,303476
279,635154,0,301711
280,634778,-376,303239
281,634778,0,303414
282,634778,0,303134
283,634778,0,305160
284,634778,0,305536
285,634778,0,306057
286,634778,0,304440
287,634778,0,304577
288,634778,0,305300
289,634778,0,305685
290,634778,0,305219
291,633902,-876,304896
292,633512,-390,305935
293,633512,0,306074
294,633512,0,305689
295,632864,-648,305055
296,632864,0,304987
297,632864,0,304302
298,632864,0,304518
299,632864,0,304157
300,632864,0,304118
301,632532,-332,303243
302,632532,0,303364
303,632532,0,302899
304,632532,0,302840
305,632532,0,303244
306,632532,0,303598
307,632532,0,303529
308,632532,0,302548
309,631988,-544,302511
310,631988,0,302962
311,631630,-358,303102
312,631330,-300,303980
313,631330,0,302613
314,631330,0,302355
315,630790,-540,301568
316,630790,0,300729
317,630790,0,300174
318,630790,0,299138
319,630790,0,301328
320,630790,0,301378
321,630790,0,300881
322,630790,0,297357
323,630236,-554,296430
324,630236,0,296266
325,630236,0,298706
326,628832,-1404,297615
327,628412,-420,297639
328,628412,0,297639
329,628034,-378,299358
330,628034,0,297910
331,628034,0,298239
332,628034,0,298668
333,628034,0,299052
334,628034,0,298130
335,628034,0,298829
336,628034,0,299679
337,628034,0,299664
338,626226,-1808,299024
339,626226,0,299241
340,626226,0,296256
341,625514,-712,296703
342,625514,0,297982
343,625514,0,294680
344,625514,0,292407
345,625514,0,293512
346,625514,0,292803
347,622002,-3512,290767
348,622002,0,290818
349,622002,0,289836
350,622002,0,293339
351,621238,-764,293641
352,619384,-1854,292649
353,619384,0,293362
354,619384,0,294957
355,619384,0,294923
356,619384,0,294133
357,619384,0,292960
358,617996,-1388,292010
359,617996,0,294184
360,617996,0,295372
361,617996,0,294820
362,617996,0,294317
363,617996,0,295961
364,617118,-878,296215
365,616330,-788,295176
366,616330,0,294874
367,615836,-494,296530
368,614992,-844,296253
369,614992,0,294610
370,614992,0,294810
371,614992,0,293271
372,614992,0,293518
373,614992,0,294710
374,614992,0,294074
375,614992,0,295110
376,614992,0,293205
377,614992,0,293732
378,614992,0,294017
379,614992,0,294970
380,614992,0,293076
381,614992,0,293002
382,614992,0,293943
383,614992,0,294284
384,614744,-248,294306
385,614744,0,295666
386,614294,-450,295980
387,614294,0,296194
388,614294,0,295660
389,614294,0,295842
390,612680,-1614,295791
391,612680,0,293454
392,612680,0,292385
393,612680,0,295348
394,612680,0,294123
395,612680,0,293141
396,612264,-416,294070
397,612044,-220,294378
398,612044,0,293495
399,612044,0,291889
400,612044,0,292917
401,612044,0,292863
402,612044,0,293509
403,612044,0,293771
404,610936,-1108,292475
405,610936,0,293260
406,609418,-1518,289185
407,609418,0,289685
408,608702,-716,290416
409,608702,0,290923
410,608702,0,290810
411,608702,0,290778
412,608702,0,287232
413,608702,0,289445
414,608702,0,289855
415,608702,0,291461
416,608702,0,292131
417,607562,-1140,288182
418,607562,0,288814
419,607562,0,289069
420,607562,0,287936
421,607562,0,288837
422,607562,0,288793
423,607562,0,289555
424,605410,-2152,289631
425,605410,0,288170
426,605410,0,289771
427,605410,0,289888
428,605410,0,289266
429,601132,-4278,285484
430,601132,0,287099
431,600286,-846,287900
432,600286,0,286600
433,600286,0,284733
434,600286,0,285432
435,600286,0,285685
436,600286,0,282973
437,600286,0,281561
438,600286,0,282411
439,600286,0,285228
440,600286,0,286405
441,599840,-446,286132
442,599840,0,284766
443,599840,0,285152
444,599840,0,285685
445,598888,-952,284145
446,597268,-1620,283813
447,597268,0,283085
448,597268,0,283106
449,596154,-1114,284537
450,596154,0,284032
451,596154,0,285704
452,596154,0,284437
453,596154,0,285436
454,595242,-912,284695
455,595242,0,286647
456,595242,0,285548
457,595242,0,285518
458,595242,0,286693
459,595242,0,285913
460,595242,0,284756
461,595242,0,285179
462,595242,0,285699
463,595242,0,286139
464,595242,0,283761
465,595242,0,284666
466,595242,0,286209
467,593744,-1498,283629
468,593744,0,284713
469,593744,0,284424
470,593744,0,284512
471,593744,0,284750
472,593744,0,285439
473,593744,0,285486
474,592336,-1408,283890
475,592336,0,283065
476,591826,-510,284318
477,591826,0,283999
478,591330,-496,283717
479,591330,0,285590
480,591330,0,284182
481,591330,0,284122
482,590634,-696,283787
483,590634,0,283022
484,590634,0,282308
485,590634,0,281278
486,589498,-1136,279683
487,589498,0,279891
488,589498,0,280119
489,589498,0,281498
490,589498,0,281008
491,589498,0,282089
492,589498,0,283678
493,587966,-1532,282400
494,587516,-450,280981
495,587516,0,282932
496,587516,0,281567
497,586208,-1308,279708
498,586208,0,279445
499,584704,-1504,277494
500,584704,0,276128
501,584704,0,277524
502,584704,0,278647
503,584704,0,277810
504,584704,0,278048
505,584704,0,278131
506,583658,-1046,278239
507,583658,0,279836
508,583658,0,278962
509,583658,0,277904
510,582092,-1566,276453
511,580638,-1454,278211
512,580638,0,275829
513,580638,0,277163
514,580638,0,278337
515,580638,0,276128
516,580108,-530,276273
517,578662,-1446,276713
518,578662,0,272561
519,578662,0,275159
520,578662,0,277310
521,578662,0,277827
522,578662,0,276292
523,578662,0,276063
524,578662,0,276785
525,578662,0,274046
526,578662,0,273841
527,578662,0,274824
528,578662,0,273926
529,578214,-448,273852
530,577294,-920,273727
531,575430,-1864,272339
532,575430,0,273241
533,575430,0,271335
534,575430,0,272299
535,575430,0,273313
536,575430,0,273924
537,572186,-3244,273320
538,572186,0,274049
539,572186,0,274427
540,572186,0,273067
541,572186,0,272504
542,572186,0,273532
543,572186,0,274865
544,571704,-482,274747
545,569192,-2512,273310
546,568704,-488,271865
547,568704,0,273265
548,568704,0,272935
549,568704,0,272237
550,568704,0,273141
551,568704,0,273499
552,568704,0,272362
553,568704,0,271716
554,567566,-1138,270877
555,567566,0,270883
556,567566,0,271053
557,567354,-212,271230
558,567354,0,271449
559,567354,0,270630
560,567354,0,271987
561,567354,0,271394
562,567354,0,271462
563,567354,0,272419
564,567354,0,272544
565,566750,-604,272257
566,566750,0,270439
567,565890,-860,271515
568,565890,0,269765
569,565890,0,271009
570,565890,0,272146
571,564614,-1276,270029
572,564614,0,269072
573,564614,0,269058
574,562876,-1738,268199
575,562876,0,269863
576,562876,0,269315
577,562876,0,266158
578,562876,0,266800
579,561090,-1786,263771
580,560458,-632,266427
581,560458,0,267807
582,560458,0,268612
583,558552,-1906,267130
584,558552,0,268163
585,558552,0,265190
586,558552,0,267023
587,558552,0,268180
588,558552,0,267990
589,558552,0,266903
590,558552,0,265604
591,558552,0,265866
592,558552,0,265856
593,557036,-1516,264129
594,557036,0,263394
595,556648,-388,265283
596,556648,0,266169
597,553682,-2966,265167
598,553682,0,265344
599,553682,0,263090
600,553682,0,263627
601,553682,0,263401
602,550592,-3090,262000
603,550592,0,264121
604,550592,0,263464
605,550592,0,262169
606,550592,0,262904
607,550592,0,261465
608,550394,-198,263911
609,550394,0,263087
610,550394,0,261721
611,548450,-1944,261571
612,548450,0,260519
613,546874,-1576,260862
614,546874,0,260364
615,545470,-1404,259162
616,545470,0,260997
617,544356,-1114,258255
618,544356,0,259541
619,544356,0,260723
620,544356,0,261321
621,544356,0,260184
622,544356,0,257242
623,542958,-1398,258757
624,542958,0,257707
625,542958,0,259079
626,542958,0,260302
627,542958,0,259938
628,542958,0,260267
629,541028,-1930,260191
630,541028,0,260401
631,541028,0,258615
632,540218,-810,258352
633,540218,0,258759
634,539672,-546,258422
635,539672,0,258384
636,539672,0,258293
637,539672,0,256713
638,539672,0,258344
639,539672,0,258933
640,539672,0,258333
641,539672,0,258683
642,539672,0,258465
643,539672,0,259188
644,539672,0,257026
645,539672,0,256775
646,538994,-678,257285
647,538994,0,258051
648,538994,0,256502
649,538994,0,257432
650,538994,0,259372
651,538994,0,257371
652,538994,0,258785
653,538704,-290,258549
654,538704,0,258741
655,537394,-1310,257526
656,537394,0,258326
657,536400,-994,257659
658,536400,0,257185
659,536400,0,257006
