tick,loss,loss_delta,in_transit
306,519854,0,257892
307,519854,0,255935
308,519634,-220,257120
309,518140,-1494,257523
310,518140,0,256129
311,518140,0,254220
312,517072,-1068,254298
313,517072,0,256652
314,517072,0,255995
315,517072,0,256552
316,516148,-924,256256
317,516148,0,255561
318,516148,0,253749
319,516148,0,254115
320,516148,0,250207
321,515256,-892,251863
322,515256,0,253282
323,514742,-514,252496
324,513668,-1074,250434
325,512802,-866,249411
326,510874,-1928,249343
327,509924,-950,249513
328,509118,-806,249479
329,508810,-308,248535
330,508810,0,249668
331,508810,0,246991
332,507628,-1182,246905
333,507370,-258,249631
334,505664,-1706,248136
335,505062,-602,247919
336,501918,-3144,245726
337,500414,-1504,244650
338,500414,0,244293
339,500414,0,242975
340,500414,0,243209
341,499760,-654,245468
342,499760,0,245064
343,499760,0,243471
344,498182,-1578,241385
345,497196,-986,238779
346,497196,0,241149
347,495564,-1632,240406
348,495564,0,243876
349,495564,0,241947
350,494902,-662,242538
351,494078,-824,241262
352,490644,-3434,237473
353,488838,-1806,239612
354,488838,0,235698
355,487510,-1328,236645
356,487510,0,236450
357,486798,-712,239490
358,486114,-684,239432
359,486114,0,241368
360,484272,-1842,240786
361,482268,-2004,238919
362,481346,-922,237552
363,481302,-44,236509
364,481252,-50,236045
365,481252,0,236693
366,480782,-470,237352
367,480782,0,235907
368,480782,0,236075
369,480186,-596,236899
370,480186,0,236295
371,478314,-1872,237348
372,477500,-814,235133
373,477500,0,236825
374,476740,-760,236553
375,476740,0,236505
376,475798,-942,236508
377,475626,-172,235543
378,475626,0,235784
379,475402,-224,236666
380,475402,0,236879
381,475402,0,236083
382,474184,-1218,234940
383,474184,0,236061
384,474184,0,234847
385,473434,-750,233655
386,473434,0,234031
387,470860,-2574,233435
388,470850,-10,233450
389,470476,-374,232151
390,470102,-374,233379
391,470102,0,232122
392,470102,0,233224
393,470102,0,232350
394,469602,-500,231911
395,469208,-394,231510
396,468254,-954,231525
397,468254,0,231851
398,468254,0,230911
399,467156,-1098,230597
400,467156,0,230950
401,466592,-564,230560
402,466592,0,232027
403,465426,-1166,231003
404,465040,-386,228908
405,465040,0,228799
406,465040,0,230403
407,464900,-140,228091
408,464548,-352,225541
409,464548,0,226727
410,464548,0,227591
411,464548,0,228183
412,462052,-2496,223713
413,460898,-1154,227064
414,459706,-1192,226916
415,459706,0,226503
416,459706,0,225446
417,458400,-1306,224844
418,458400,0,225339
419,450166,-8234,220360
420,449818,-348,217239
421,449818,0,220280
422,449818,0,217927
423,449090,-728,219661
424,448046,-1044,219949
425,448046,0,219545
426,448046,0,222670
427,446318,-1728,219821
428,446318,0,216813
429,446276,-42,219055
430,443640,-2636,217236
431,443640,0,217579
432,441310,-2330,217467
433,441310,0,217909
434,440854,-456,217084
435,440854,0,216832
436,439164,-1690,216319
437,439164,0,216100
438,439164,0,214751
439,439164,0,213250
440,436908,-2256,212035
441,436566,-342,214495
442,431354,-5212,212737
443,431354,0,213338
444,429638,-1716,211184
445,428758,-880,210393
446,428758,0,212020
447,423900,-4858,209819
448,423900,0,210312
449,423900,0,210351
450,423900,0,210764
451,423900,0,210243
452,423900,0,208923
453,423900,0,210472
454,423900,0,210004
455,422592,-1308,209914
456,422592,0,210681
457,420744,-1848,207615
458,419992,-752,205495
459,419992,0,204818
460,419250,-742,205832
461,417188,-2062,204934
462,416170,-1018,205455
463,416170,0,206198
464,414576,-1594,205409
465,414576,0,206215
466,414576,0,204865
467,414576,0,205139
468,414576,0,205026
469,414576,0,203774
470,414576,0,205300
471,414576,0,205395
472,414576,0,205036
473,414050,-526,204667
474,412290,-1760,204593
475,410788,-1502,202803
476,410788,0,203562
477,410056,-732,203819
478,410056,0,201179
479,410056,0,201650
480,409490,-566,202315
481,408794,-696,202567
482,408140,-654,200675
483,407392,-748,200531
484,405304,-2088,199003
485,405304,0,200161
486,405304,0,199113
487,403894,-1410,200473
488,402922,-972,196202
489,402922,0,198666
490,402922,0,199347
491,402922,0,196407
492,400258,-2664,197915
493,399704,-554,198670
494,398686,-1018,195014
495,398686,0,195998
496,398686,0,195367
497,397784,-902,195464
498,396210,-1574,194049
499,396210,0,195600
500,395190,-1020,195143
501,393300,-1890,194085
502,391912,-1388,192899
503,391912,0,194158
504,391912,0,193541
505,390458,-1454,193151
506,390458,0,190361
507,389202,-1256,188844
508,389202,0,191939
509,388688,-514,192613
510,388688,0,189891
511,388444,-244,190060
512,387620,-824,190593
513,384952,-2668,187370
514,382368,-2584,189088
515,377426,-4942,187068
516,377426,0,186271
517,377426,0,186733
518,372660,-4766,185172
519,372660,0,182941
520,372660,0,183456
521,372088,-572,184058
522,372088,0,183314
523,372088,0,183522
524,369636,-2452,183186
525,367752,-1884,181478
526,365746,-2006,181618
527,364586,-1160,179513
528,364586,0,177240
529,364586,0,177248
530,364586,0,180699
531,364586,0,180474
532,361256,-3330,179401
533,358812,-2444,177719
534,353534,-5278,174119
535,352140,-1394,174039
536,352140,0,173956
537,352140,0,174190
538,352140,0,174911
539,351344,-796,173325
540,349750,-1594,172651
541,349506,-244,173646
542,349506,0,172376
543,349506,0,172786
544,346874,-2632,172683
545,346874,0,171322
546,346766,-108,171415
547,346766,0,171008
548,346766,0,170792
549,346766,0,171553
550,346766,0,171456
551,346142,-624,171383
552,346142,0,172059
553,346142,0,170204
554,343538,-2604,168971
555,341532,-2006,169128
556,341532,0,168801
557,341532,0,167367
558,341532,0,168428
559,341198,-334,168503
560,339070,-2128,168139
561,339070,0,167618
562,339070,0,167955
563,337840,-1230,167566
564,337840,0,167433
565,336876,-964,166623
566,335988,-888,166084
567,335988,0,165321
568,333902,-2086,164913
569,333902,0,163994
570,333114,-788,164580
571,330274,-2840,163542
572,330274,0,163526
573,329350,-924,162433
574,328152,-1198,161403
575,328152,0,161939
576,328152,0,163324
577,327332,-820,161034
578,327332,0,160915
579,326086,-1246,161596
580,324900,-1186,158991
581,324900,0,161167
582,323662,-1238,159343
583,323662,0,158769
584,323662,0,158927
585,323662,0,160309
586,323662,0,159701
587,320144,-3518,155550
588,317790,-2354,155737
589,316170,-1620,155773
590,314710,-1460,155602
591,314710,0,156230
592,312790,-1920,154264
593,312790,0,154744
594,312790,0,153563
595,311944,-846,152943
596,311944,0,153401
597,310816,-1128,152760
598,310816,0,153585
599,308428,-2388,153273
600,308428,0,152850
601,308428,0,151497
602,306386,-2042,152004
603,306386,0,150942
604,306386,0,150586
605,303710,-2676,149659
606,303324,-386,149639
607,301856,-1468,149538
608,301856,0,147202
609,301206,-650,148160
610,299846,-1360,149090
611,296406,-3440,147329
612,296048,-358,147639
613,294266,-1782,146100
614,291340,-2926,143659
615,291340,0,143750
616,290008,-1332,144316
617,287838,-2170,142679
618,287838,0,141690
619,285852,-1986,141466
620,284864,-988,141424
621,284268,-596,140972
622,283014,-1254,140744
623,283014,0,140497
624,282358,-656,139541
625,282358,0,140712
626,282358,0,139042
627,281942,-416,139691
628,281942,0,139687
629,281942,0,138734
630,276254,-5688,137040
631,276254,0,135812
632,276254,0,137545
633,276254,0,136624
634,276254,0,137030
635,273174,-3080,135440
636,270040,-3134,133838
637,270040,0,133537
638,268784,-1256,133182
639,268784,0,132951
640,266402,-2382,132344
641,264136,-2266,130764
642,262610,-1526,130280
643,262610,0,130538
644,261858,-752,130216
645,261224,-634,127600
646,261224,0,128316
647,261224,0,129905
648,261224,0,127475
649,261224,0,129787
650,261224,0,129242
651,260312,-912,129488
652,257682,-2630,128426
653,257682,0,127734
654,257682,0,128106
655,254346,-3336,125903
656,254346,0,125149
657,252726,-1620,125466
658,252726,0,125021
659,252726,0,125671
660,252158,-568,125057
661,252158,0,125362
662,252158,0,123702
663,247410,-4748,123109
664,247410,0,121724
665,244796,-2614,120274
666,243498,-1298,119953
667,240752,-2746,118445
668,239332,-1420,118279
669,239332,0,118766
670,238854,-478,117976
671,238854,0,119339
672,238854,0,118738
673,233708,-5146,113989
674,233708,0,115344
675,233708,0,115691
676,233480,-228,113707
677,233480,0,115261
678,233480,0,115335
679,233480,0,115267
680,232430,-1050,114469
681,232430,0,113674
682,231262,-1168,114992
683,226568,-4694,113138
684,226568,0,112310
685,224228,-2340,111496
686,224228,0,111900
687,223498,-730,110086
688,221188,-2310,109808
689,221188,0,109455
690,221188,0,109900
691,221188,0,109570
692,218404,-2784,108489
693,216658,-1746,107633
694,216658,0,107038
695,215484,-1174,106498
696,215484,0,106179
697,215484,0,106710
698,213070,-2414,105118
699,207672,-5398,102001
700,206594,-1078,103200
701,203400,-3194,101475
702,202680,-720,99859
703,202680,0,100510
704,202680,0,100100
705,200530,-2150,99189
706,199010,-1520,98799
707,197724,-1286,97734
708,197724,0,96918
709,197724,0,97865
710,197724,0,97727
711,196342,-1382,97859
712,196342,0,96936
713,194936,-1406,97341
714,192390,-2546,96125
715,192390,0,96050
716,189800,-2590,93472
717,189800,0,94486
718,189800,0,94440
719,187856,-1944,92346
720,187856,0,93308
721,185578,-2278,92172
722,185008,-570,91884
723,184690,-318,91046
724,183838,-852,91744
725,183838,0,91429
726,183838,0,90724
727,183838,0,91234
728,183838,0,90556
729,183336,-502,91538
730,182430,-906,91424
731,182430,0,90173
732,181962,-468,90906
733,179304,-2658,88955
734,176466,-2838,87989
735,171762,-4704,85445
736,169804,-1958,85095
737,169804,0,85173
738,169090,-714,83636
739,166914,-2176,83565
740,166914,0,81311
741,165956,-958,81897
742,165376,-580,82499
743,165376,0,81683
744,165376,0,82493
745,165376,0,81845
746,165376,0,82670
747,164788,-588,82604
748,162034,-2754,79273
749,162034,0,81065
750,162034,0,80729
751,158738,-3296,79135
752,156814,-1924,78794
753,156814,0,78399
754,153874,-2940,77063
755,153874,0,76526
756,151194,-2680,74859
757,151194,0,75285
758,148358,-2836,73474
759,147120,-1238,72523
760,146204,-916,72139
761,144604,-1600,72169
762,144604,0,72225
763,143400,-1204,71776
764,143400,0,71418
765,141532,-1868,70557
766,141532,0,70421
767,141532,0,70040
768,140732,-800,70035
769,140732,0,70111
770,138610,-2122,69263
771,138610,0,68583
772,138610,0,69382
773,138610,0,68810
774,137508,-1102,68865
775,137508,0,69228
776,137508,0,68592
777,137508,0,68314
778,135380,-2128,67771
779,132730,-2650,66621
780,132730,0,65834
781,127226,-5504,62990
782,127226,0,63322
783,125218,-2008,61862
784,123040,-2178,61723
785,123040,0,61159
786,123040,0,61046
787,123040,0,61311
788,123040,0,61371
789,123040,0,61884
790,119966,-3074,58881
791,117326,-2640,58115
792,116094,-1232,58244
793,115692,-402,58285
794,113690,-2002,57102
795,113064,-626,56700
796,112398,-666,56410
797,112398,0,55755
798,110836,-1562,55436
799,110836,0,55546
