tick,loss,loss_delta,in_transit
304,85834,-112,42589
305,85834,0,42218
306,85834,0,42505
307,85772,-62,42359
308,85648,-124,42086
309,85648,0,41690
310,85592,-56,42170
311,85592,0,42304
312,85592,0,42149
313,85374,-218,41866
314,85374,0,42294
315,85206,-168,42234
316,84982,-224,41958
317,84982,0,41730
318,84950,-32,41742
319,84872,-78,42022
320,84638,-234,42059
321,84406,-232,41391
322,84356,-50,41769
323,83924,-432,41547
324,83924,0,41631
325,83868,-56,41010
326,83868,0,40699
327,83860,-8,41239
328,83708,-152,41424
329,83668,-40,40969
330,83664,-4,41326
331,83560,-104,40912
332,83560,0,41497
333,83310,-250,41092
334,83170,-140,40993
335,83170,0,40680
336,83058,-112,41072
337,82638,-420,40959
338,82638,0,40631
339,82382,-256,40445
340,82382,0,40196
341,82382,0,40368
342,82374,-8,40846
343,82352,-22,40596
344,82352,0,40323
345,82200,-152,40520
346,82184,-16,40428
347,81992,-192,40465
348,81868,-124,40615
349,81868,0,40432
350,81780,-88,40538
351,81712,-68,40290
352,81628,-84,39736
353,81628,0,40503
354,81528,-100,40111
355,81472,-56,40161
356,81416,-56,39686
357,81416,0,40178
358,81248,-168,40429
359,81248,0,39932
360,81130,-118,40268
361,81130,0,40223
362,81130,0,40354
363,81130,0,40196
364,81130,0,40301
365,80960,-170,40068
366,80812,-148,40050
367,80722,-90,40309
368,80676,-46,40033
369,80676,0,40122
370,80670,-6,40194
371,80506,-164,40268
372,80504,-2,39843
373,80504,0,39943
374,80504,0,40231
375,80414,-90,39952
376,80056,-358,39489
377,79890,-166,39456
378,79796,-94,39441
379,79390,-406,39727
380,79220,-170,39174
381,79220,0,39228
382,79220,0,39108
383,79220,0,39435
384,79220,0,39424
385,78906,-314,38882
386,78806,-100,39126
387,78772,-34,38825
388,78772,0,39018
389,78772,0,39160
390,78772,0,38824
391,78640,-132,39028
392,78524,-116,38617
393,78524,0,39170
394,78524,0,38988
395,78014,-510,38429
396,77812,-202,38800
397,77480,-332,38355
398,77330,-150,38399
399,77330,0,38027
400,77184,-146,37958
401,77126,-58,38169
402,76844,-282,37746
403,76828,-16,38086
404,76744,-84,37910
405,76218,-526,37511
406,76218,0,37563
407,75958,-260,37723
408,75730,-228,37588
409,75642,-88,37480
410,75642,0,36883
411,75642,0,36916
412,75148,-494,37137
413,75022,-126,37224
414,75022,0,37054
415,74854,-168,37209
416,74854,0,36893
417,74854,0,37179
418,74844,-10,37187
419,74462,-382,36031
420,74086,-376,36626
421,73616,-470,36459
422,73616,0,36651
423,73464,-152,36171
424,73320,-144,36067
425,73270,-50,36586
426,72984,-286,36254
427,72952,-32,36289
428,72952,0,36084
429,72854,-98,36382
430,72854,0,36297
431,72630,-224,36281
432,72630,0,35786
433,72234,-396,35854
434,72068,-166,35932
435,72060,-8,35741
436,72060,0,35846
437,71592,-468,35475
438,71086,-506,34809
439,71046,-40,35268
440,71032,-14,35409
441,70944,-88,34965
442,70752,-192,35014
443,70752,0,34808
444,70704,-48,35134
445,70470,-234,34848
446,70470,0,35149
447,70450,-20,34844
448,70192,-258,35064
449,69850,-342,34670
450,69684,-166,34919
451,69684,0,34859
452,69684,0,34261
453,69496,-188,34649
454,69326,-170,34482
455,69192,-134,34086
456,68882,-310,34567
457,68762,-120,34005
458,68762,0,34301
459,68672,-90,33780
460,68444,-228,34179
461,68314,-130,34118
462,68094,-220,33718
463,67764,-330,33731
464,67646,-118,33572
465,67646,0,33447
466,67458,-188,33551
467,67458,0,33818
468,67458,0,33727
469,67458,0,33610
470,67266,-192,33430
471,67196,-70,33090
472,66818,-378,33298
473,66742,-76,33141
474,66708,-34,33128
475,66624,-84,33234
476,66224,-400,32837
477,66224,0,32628
478,66212,-12,32799
479,66070,-142,32706
480,65966,-104,32808
481,65548,-418,32636
482,65504,-44,32472
483,65498,-6,32537
484,65060,-438,32328
485,64872,-188,32394
486,64794,-78,31714
487,64772,-22,31786
488,64772,0,31639
489,64772,0,32299
490,64772,0,31920
491,64690,-82,31999
492,64690,0,32266
493,64644,-46,32160
494,64644,0,31728
495,64396,-248,31607
496,64282,-114,32200
497,63936,-346,31585
498,63300,-636,31244
499,63028,-272,31479
500,62798,-230,31304
501,62788,-10,31093
502,62604,-184,30834
503,62484,-120,30959
504,62172,-312,30961
505,62118,-54,30671
506,62118,0,31203
507,62092,-26,30768
508,62052,-40,30333
509,62038,-14,30757
510,61866,-172,30580
511,61866,0,30681
512,61848,-18,30566
513,61602,-246,30652
514,61456,-146,30457
515,61456,0,30794
516,61456,0,30566
517,61298,-158,30253
518,61298,0,30599
519,61298,0,30296
520,61294,-4,30569
521,61294,0,30584
522,61210,-84,30166
523,61204,-6,30278
524,60874,-330,30276
525,60566,-308,29870
526,60240,-326,30266
527,59996,-244,29606
528,59720,-276,29609
529,59548,-172,29525
530,59548,0,29831
531,59364,-184,29299
532,59364,0,29472
533,59196,-168,29713
534,59144,-52,29198
535,59052,-92,29513
536,58778,-274,29441
537,58706,-72,29010
538,58706,0,29223
539,58530,-176,28775
540,58466,-64,28880
541,58164,-302,28979
542,57974,-190,28762
543,57840,-134,28782
544,57776,-64,28781
545,57490,-286,28086
546,57338,-152,28059
547,57306,-32,28353
548,57086,-220,28146
549,56846,-240,28343
550,56752,-94,28216
551,56684,-68,28204
552,56380,-304,28053
553,56284,-96,27903
554,56172,-112,27869
555,56172,0,27962
556,56124,-48,27904
557,55956,-168,27691
558,55956,0,27962
559,55640,-316,27560
560,55466,-174,27354
561,55466,0,27601
562,55466,0,27686
563,54914,-552,27406
564,54626,-288,27149
565,54406,-220,27235
566,53932,-474,26591
567,53932,0,26836
568,53932,0,26476
569,53652,-280,26014
570,53622,-30,26451
571,53570,-52,26502
572,53122,-448,26440
573,52936,-186,26652
574,52934,-2,26565
575,52898,-36,26522
576,52622,-276,26003
577,52112,-510,25954
578,51680,-432,25915
579,51498,-182,25665
580,51236,-262,25529
581,51236,0,25598
582,50834,-402,25379
583,50834,0,25454
584,50830,-4,25485
585,50830,0,25372
586,50680,-150,25364
587,49958,-722,25094
588,49528,-430,25016
589,49398,-130,24628
590,49326,-72,24912
591,49280,-46,24470
592,49208,-72,24679
593,49098,-110,24603
594,49032,-66,24684
595,48980,-52,24564
596,48980,0,24343
597,48674,-306,24432
598,48610,-64,24602
599,48370,-240,24182
600,48312,-58,23888
601,48054,-258,23900
602,48054,0,24187
603,47640,-414,23615
604,47584,-56,23911
605,47522,-62,23836
606,47406,-116,23566
607,47254,-152,23517
608,47076,-178,23213
609,46986,-90,23475
610,46682,-304,23615
611,46494,-188,23486
612,46494,0,23584
613,46014,-480,23249
614,45750,-264,23231
615,45674,-76,23093
616,45206,-468,22954
617,45124,-82,22977
618,44954,-170,22702
619,44864,-90,22720
620,44846,-18,22803
621,44656,-190,22462
622,44554,-102,22436
623,44508,-46,21936
624,44184,-324,22187
625,44018,-166,22136
626,43816,-202,21970
627,43746,-70,22106
628,43746,0,22133
629,43354,-392,21429
630,43340,-14,21709
631,43244,-96,21700
632,43244,0,21647
633,43184,-60,21612
634,43034,-150,21587
635,43034,0,21426
636,42984,-50,21542
637,42938,-46,21563
638,42938,0,21515
639,42710,-228,21545
640,42542,-168,21372
641,42442,-100,20990
642,42270,-172,21299
643,41984,-286,20972
644,41622,-362,20888
645,41214,-408,20486
646,41116,-98,20787
647,40778,-338,20386
648,40444,-334,20042
649,40168,-276,20150
650,40112,-56,19984
651,40008,-104,19678
652,39634,-374,19731
653,39380,-254,19761
654,39342,-38,19679
655,39054,-288,19541
656,38888,-166,19148
657,38704,-184,19391
658,38496,-208,19183
659,38380,-116,18965
660,38112,-268,19060
661,37872,-240,18417
662,37868,-4,19002
663,37868,0,18707
664,37700,-168,18638
665,37574,-126,18824
666,37564,-10,18721
667,37364,-200,18462
668,37250,-114,18687
669,37198,-52,18695
670,36996,-202,18252
671,36996,0,18467
672,36540,-456,18212
673,36480,-60,18267
674,36348,-132,18282
675,36126,-222,17899
676,36126,0,17517
677,36070,-56,17847
678,36016,-54,17901
679,35868,-148,17946
680,35612,-256,17838
681,35418,-194,17757
682,35418,0,17338
683,35330,-88,17624
684,35026,-304,17872
685,34974,-52,17761
686,34868,-106,17611
687,34790,-78,17308
688,34588,-202,17641
689,34428,-160,17338
690,33840,-588,17189
691,33794,-46,16963
692,33726,-68,17078
693,33726,0,16905
694,33212,-514,16686
695,33190,-22,16651
696,33070,-120,16708
697,33056,-14,16700
698,33030,-26,16812
699,32994,-36,16559
700,32744,-250,16619
701,32696,-48,16507
702,32666,-30,16632
703,32630,-36,16500
704,32630,0,16350
705,32158,-472,16132
706,32154,-4,16232
707,31958,-196,16180
708,31816,-142,16017
709,31816,0,16023
710,31584,-232,15510
711,31584,0,16015
712,31498,-86,15864
713,31382,-116,15922
714,31382,0,15956
715,31382,0,15725
716,31382,0,15965
717,31304,-78,15954
718,31044,-260,15893
719,30772,-272,15669
720,30700,-72,15496
721,30610,-90,15610
722,30610,0,15515
723,30476,-134,15536
724,30334,-142,15284
725,30144,-190,15414
726,30036,-108,15369
727,30036,0,15296
728,29872,-164,15197
729,29800,-72,15178
730,29800,0,15070
731,29602,-198,14845
732,29546,-56,14687
733,29262,-284,14836
734,29262,0,14860
735,29258,-4,14822
736,29230,-28,14791
737,29016,-214,14710
738,28980,-36,14671
739,28830,-150,14591
740,28684,-146,14375
741,28494,-190,14292
742,28478,-16,14214
743,28478,0,14116
744,28414,-64,14280
745,28414,0,14198
746,28358,-56,14195
747,28070,-288,14129
748,27998,-72,14103
749,27964,-34,14141
750,27712,-252,13954
751,27574,-138,13997
752,27484,-90,13823
753,27458,-26,13855
754,27458,0,13976
755,27264,-194,13762
756,27090,-174,13632
