run_id,spartan_mult,ticks,winner,nodes_p0,nodes_p1,troops_p0,troops_p1,deaths_p0,deaths_p1
0,1,348,1,0,5,0,2127,572,49
1,1,348,1,0,5,0,2127,572,49
2,1,348,1,0,5,0,2127,572,49
