run_id,spartan_mult,ticks,winner,nodes_p0,nodes_p1,troops_p0,troops_p1,deaths_p0,deaths_p1
0,1,3000,-1,5,5,16083,2548,1705,16052
1,1,3000,-1,5,5,16083,2548,1705,16052
2,1,3000,-1,5,5,16083,2548,1705,16052
