run_id,spartan_mult,ticks,winner,nodes_p0,nodes_p1,troops_p0,troops_p1,deaths_p0,deaths_p1
0,1,2000,1,1,5,441,11337,2252,1419
1,1,2000,1,1,5,441,11337,2252,1419
2,1,2000,1,1,5,441,11337,2252,1419
