run_id,spartan_mult,ticks,winner,nodes_p0,nodes_p1,troops_p0,troops_p1,deaths_p0,deaths_p1
0,1,1803,1,0,10,0,11000,8407,2735
1,1,1803,1,0,10,0,11000,8407,2735
2,1,1803,1,0,10,0,11000,8407,2735
