run_id,spartan_mult,ticks,winner,nodes_p0,nodes_p1,troops_p0,troops_p1,deaths_p0,deaths_p1
0,1,2000,1,1,7,3558,5351,1264,5817
1,1,2000,1,1,7,3558,5351,1264,5817
2,1,2000,1,1,7,3558,5351,1264,5817
