run_id,seed,n_steps,total_ticks,accumulated_production
0,42,42,5604,61027
1,43,38,2876,59004
2,44,46,3583,69041
3,45,39,3397,55573
4,46,43,2780,63504
5,47,41,3056,54590
6,48,44,2595,58142
7,49,33,2615,46521
8,50,36,3877,46065
9,51,43,3406,61570
