run_id,seed,n_steps,total_ticks,accumulated_production
0,42,42,3368,61017
1,43,38,3238,59067
2,44,46,3100,69094
3,45,39,2933,55609
4,46,43,2889,63603
5,47,41,2792,54597
6,48,44,2636,58107
7,49,33,2243,46548
8,50,36,2787,46041
9,51,43,3240,61622
