run_id,seed,n_steps,total_ticks,accumulated_production
0,42,42,3101,61095
1,43,38,2841,59111
2,44,46,2867,69105
3,45,39,2847,55568
4,46,43,2822,63576
5,47,41,2655,54510
6,48,44,2605,58034
7,49,33,2590,46588
8,50,36,2678,46063
9,51,43,2919,61596
