rank,model,hodge_potential
1,v12,0.3654
2,v8,0.3654
3,v9,0.3654
4,v0_expansion,0.0962
5,v6,0.0769
6,v7,0.0577
7,v4,0.0192
8,v10,0.0000
9,v5_qubo,-0.0577
10,v5_qubo_composite,-0.1346
11,v11,-0.3077
12,v1_knapsack,-0.3846
13,v1_knapsack_hybrid,-0.4615
