rank,model,elo,winrate,games
1,v8,2406.7,0.896,48
2,v9,2340.8,0.854,48
3,v12,2206.3,0.750,48
4,v7,2090.9,0.646,48
5,v10,2090.9,0.646,48
6,v0_expansion,2046.6,0.604,48
7,v6,2024.3,0.583,48
8,v5_qubo,1884.4,0.458,48
9,v4,1858.7,0.438,48
10,v5_qubo_composite,1773.0,0.375,48
11,v11,492.7,0.167,48
12,v1_knapsack,-762.2,0.062,48
13,v1_knapsack_hybrid,-953.1,0.021,48
